photo_index,source_filename,repo_path,raw_url,sku,item_name,assigned,size_kb
12,B3C1C1E8-3692-4105-ABAC-10743AD89482.jpeg,images/est-1329-multi-roc/01-012.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-1329-multi-roc/01-012.jpg,EST-1329,Multi-Roc,yes,208.0
41,02CC35F3-EB28-40F2-BA78-87CDC4CF48C2.jpeg,images/est-1329-multi-roc/02-041.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-1329-multi-roc/02-041.jpg,EST-1329,Multi-Roc,yes,318.6
43,3BA5ADFD-F35E-4538-B477-6927DDD58C4C.jpeg,images/est-1329-multi-roc/03-043.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-1329-multi-roc/03-043.jpg,EST-1329,Multi-Roc,yes,330.5
16,9AE8A5B4-A00D-45C3-8343-B3EDAF59ADCD.jpeg,images/est-7271-sa-2061-sasha/01-016.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-7271-sa-2061-sasha/01-016.jpg,EST-7271,SA-2061 Sasha,yes,207.2
29,0DC8BCE1-8FE4-414A-9D7F-73009C886F99.jpeg,images/est-7271-sa-2061-sasha/02-029.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-7271-sa-2061-sasha/02-029.jpg,EST-7271,SA-2061 Sasha,yes,339.0
30,DE0F8E51-8026-46A6-8BAC-C1296B459513.jpeg,images/est-7271-sa-2061-sasha/03-030.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-7271-sa-2061-sasha/03-030.jpg,EST-7271,SA-2061 Sasha,yes,269.6
47,F1371724-325B-462E-B4A7-3DDB5E99644A.jpeg,images/est-3227-loadstar-ii/01-047.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-3227-loadstar-ii/01-047.jpg,EST-3227,Loadstar II,yes,297.0
45,D9786094-4CE7-4E52-96B0-C3A0BFFAB299.jpeg,images/est-3227-loadstar-ii/02-045.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-3227-loadstar-ii/02-045.jpg,EST-3227,Loadstar II,yes,324.4
42,441F03C4-9053-4ADB-8FB2-5EE6157D075F.jpeg,images/est-7000-bull-pup-12d/01-042.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-7000-bull-pup-12d/01-042.jpg,EST-7000,Bull Pup 12D,yes,276.7
40,26539542-983B-41F5-BC6E-59DB58AA6586.jpeg,images/est-7000-bull-pup-12d/02-040.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/est-7000-bull-pup-12d/02-040.jpg,EST-7000,Bull Pup 12D,yes,377.1
32,20E71FD2-6291-409D-9E0E-1C45A2BB7544.jpeg,images/unassigned/photo-032.jpg,https://raw.githubusercontent.com/JosephLalli/ebay_photo_hosting/main/images/unassigned/photo-032.jpg,UNASSIGNED,Review/unassigned photo,no,330.4
